Gene	FDR
cg00512917	1.33413892098533e-16
cg00513941	5.26598537549127e-05
cg00514268	8.67056558874618e-29
cg00515457	4.73651993115472e-65
cg00527489	1.06644177571986e-63
cg00532157	1.41138594015739e-53
cg00557947	1.33295889422986e-54
cg00558689	3.90358293382588e-26
cg00582524	4.31015269289099e-53
cg00582971	9.14257397426418e-65
cg00590139	2.70495806579612e-31
cg00595212	2.53787042438173e-35
cg00602115	1.78685942705912e-88
cg00611227	0.000675666327110638
cg00613562	7.98500914849188e-65
cg00614503	1.48685978417312e-33
cg00619443	4.18786568185028e-28
cg00627029	1.45977941530786e-25
cg00627361	1.41368680739628e-24
cg00655552	5.41900155388975e-27
cg00656735	2.25900329370588e-88
cg00660167	6.42091656399782e-09
cg00662647	1.53527613190294e-23
cg00662782	1.23864309821382e-23
cg00663077	5.71621556897925e-41
cg00665492	8.27704576293221e-25
cg00666105	5.6653933983978e-52
cg00674365	1.79220272196517e-22
cg00674706	1.2520984161185e-33
cg00675569	3.76510742145258e-53
cg00677574	8.15019450821642e-11
cg00680551	7.48221294216873e-73
cg00691999	2.88404407361209e-50
cg00698906	1.20404156238265e-06
cg00702647	2.87600322966887e-67
cg00714725	2.63474927021962e-26
cg00722320	2.45434394865478e-29
cg00735923	2.2120867330979e-45
cg00741789	1.53727209290046e-21
cg00741836	7.15917126234623e-70
cg00744866	1.14421943447167e-09
cg00765312	4.12213714274083e-34
cg00768487	3.60501247784314e-26
cg00773902	1.64849770221957e-55
cg00777546	6.72340350252154e-44
cg00778807	5.04095588386926e-48
cg00778995	7.44432292431022e-73
cg00783712	4.2381765712293e-17
cg00795341	1.28702504805446e-59
cg00800229	3.53637200850463e-57
cg00802903	1.330881216422e-44
cg00807871	4.65151811543029e-54
cg00810956	1.41598808022428e-34
cg00812438	5.33550706652542e-42
cg00812833	2.62507626360904e-62
cg00813378	5.47397772545562e-31
cg00817367	1.04777459848189e-46
cg00826640	3.63658022884e-07
cg00827989	2.73902083554362e-73
cg00832555	6.05717896092705e-42
cg00839579	5.04397503012394e-20
cg00840332	5.09388333580066e-66
cg00840403	2.66208784786996e-78
cg00848945	1.63486074881436e-07
cg00852051	2.54364079950853e-05
cg00857907	1.27420969959918e-21
cg00880018	8.11396462404838e-64
cg00895834	3.17075653509622e-09
cg00904966	1.72587890442597e-22
cg00907288	1.57377846892896e-26
cg00910015	1.11880146272125e-15
cg00910695	2.87513907319956e-73
cg00914146	2.22222773984204e-19
cg00916884	3.32986532131973e-08
cg00921266	1.24068882110375e-15
cg00922748	1.33450291378921e-17
cg00927554	2.59287808900584e-72
cg00928596	2.7848218792953e-50
cg00931644	2.01602386834046e-11
cg00937286	3.41627563349222e-23
cg00945293	4.94659105101903e-30
cg00946316	2.58108033766071e-06
cg00949980	5.25215889232935e-17
cg00956252	5.26714916494431e-59
cg00957641	1.73709030094712e-24
cg00960700	2.9090000977249e-19
cg00960781	4.61823072438853e-56
cg00963071	4.77944915865682e-36
cg00963378	2.66979555413386e-51
cg00969119	6.37357143116042e-15
cg00970396	3.78174499775003e-58
cg00974761	2.81172435238823e-05
cg00977827	9.29481068136434e-24
cg00991875	8.08413647831831e-47
cg01000937	5.17284125742304e-22
cg01016662	1.95143755661902e-50
cg01020475	3.3540315265564e-51
cg01025836	5.1063179492135e-46
cg01030534	3.57080354361448e-05
cg01031032	2.52727411821742e-43
cg01040523	5.89126741281967e-41
cg01046104	1.17892710981328e-23
cg01054755	8.69372014770444e-32
cg01056135	5.50143540323421e-34
cg01056242	0.00018698099342069
cg01058360	2.57208251153199e-21
cg01063579	2.26772649533616e-56
cg01066220	2.97464608043942e-38
cg01070209	5.15248796090489e-31
cg01070987	3.68552680129789e-14
cg01072076	4.8795323163766e-56
cg01074657	4.08775319113541e-44
cg01083380	6.66764152149621e-51
cg01088410	1.16472131276941e-39
cg01089498	5.39096159117267e-16
cg01090834	1.05258683448239e-23
cg01091951	8.40976312303308e-85
cg01097881	8.00277605644197e-32
cg01105494	3.43903611205127e-08
cg01109574	1.0957006952135e-19
cg01110759	4.14956320091341e-11
cg01114088	1.07308889305184e-70
cg01114937	1.69579171692666e-29
cg01128642	3.27201377159941e-33
cg01135464	2.31133597453373e-40
cg01140416	4.67325623420577e-31
cg01140660	1.43405403842945e-17
cg01146232	3.99690595019054e-42
cg01163842	1.10780007765133e-58
cg01176363	1.63234197986844e-27
cg01192077	1.57782788491171e-19
cg01207684	9.07146967967926e-56
cg01214012	5.51888146934381e-28
cg01221209	7.82950910554678e-33
cg01226963	9.82306996720002e-17
cg01227537	2.49553077935194e-46
cg01235820	2.13114823547791e-34
cg01239704	2.8174980021667e-06
cg01240444	2.53917745121617e-37
cg01244650	1.11486647632963e-23
cg01246520	2.68508776501774e-60
cg01252526	0.000146567199830068
cg01263386	1.50060222249821e-28
cg01268824	5.68469914568745e-42
cg01271455	0.0540243957606287
cg01272707	3.01418772155287e-05
cg01283246	2.28898397720804e-44
cg01288184	3.87874963731053e-85
cg01306183	9.18516299160247e-63
cg01307130	2.77537401529501e-39
cg01308827	2.95419279775872e-32
cg01321962	1.3278138462036e-19
cg01324372	2.07664352351769e-34
cg01335210	8.82018726140597e-09
cg01336390	1.07699214128326e-09
cg01338255	4.02849723104962e-51
cg01361351	2.436503269647e-30
cg01371233	2.61966515178907e-22
cg01379240	7.76051547705281e-36
cg01390574	6.80779619382458e-57
cg01403596	9.67147918171391e-10
cg01405445	2.58853473707257e-29
cg01414268	2.67075058380479e-05
cg01415919	1.18244527308039e-09
cg01419831	1.10435589350041e-44
cg01427849	1.29851784682664e-18
cg01431993	7.49518152684123e-55
cg01445580	3.46805910943032e-49
cg01447112	9.74703866380686e-71
cg01452847	8.84338272841009e-46
cg01472882	1.9612943417186e-73
cg01500945	1.52039871242948e-30
cg01514828	2.50529150782334e-66
cg01518607	2.10263266702743e-38
cg01518889	6.84265364608619e-22
cg01520402	6.15604318308661e-54
cg01525428	1.54590888327738e-29
cg01532168	1.66565312183791e-76
cg01535733	2.79783484532193e-31
cg01536987	4.76763853999178e-23
cg01558923	2.55788907823101e-52
cg01561304	9.46067847290713e-05
cg01563704	9.15671803956055e-13
cg01565320	7.81524147132012e-81
cg01566592	2.29518760043479e-40
cg01567173	4.19593187921436e-30
cg01573321	6.74806294703007e-18
cg01576677	1.50298720835756e-62
cg01587630	1.4300229987771e-34
cg01587896	4.78757727175577e-49
cg01594538	3.43541753768273e-83
cg01610165	2.0975602258831e-45
cg01612247	1.27682041826929e-16
cg01616178	5.64098960734269e-81
cg01623261	4.09429044919553e-27
cg01627823	1.70584521472193e-10
cg01636650	6.30166809143511e-10
cg01640437	3.5363749836028e-29
cg01641792	1.64196214254838e-10
cg01642521	1.37986890816086e-76
cg01663018	2.38201208470107e-44
cg01680010	1.72353202300163e-07
cg01682111	1.54703419796203e-32
cg01682504	1.19571758901172e-42
cg01685242	7.834737521275e-30
cg01688536	1.69692087568579e-46
cg01696784	6.24001197428533e-22
cg01697719	3.13772505158873e-05
cg01703246	1.02724832396596e-20
cg01704474	5.02180597065499e-08
cg01715266	3.85688945850031e-26
cg01718447	8.43387515846316e-32
cg01730064	1.51410166016621e-38
cg01735384	1.23338271312024e-31
cg01736164	0.00917662767768251
cg01738022	1.5244241091733e-09
cg01739725	3.48825033934555e-09
cg01743841	2.11112975558526e-21
cg01749491	1.17672861603468e-21
cg01754525	2.28459795820999e-23
cg01759870	6.5352546151746e-08
cg01760475	8.3572805974845e-32
cg01764082	3.81914256504569e-71
cg01764252	3.17139750715145e-37
cg01765077	1.50493139983446e-15
cg01765111	1.3257173363865e-27
cg01774894	3.369004196503e-24
cg01777397	9.70598114055012e-56
cg01778345	0.466703101338068
cg01779765	6.30812378099214e-47
cg01781617	2.81054049826931e-38
cg01781974	9.75346246304522e-68
cg01783070	5.88334404266698e-25
cg01790002	2.0515222481729e-29
cg01791371	1.24896053056879e-10
cg01811882	2.58296393270521e-13
cg01814027	0.154014608154268
cg01817521	1.34766513671202e-24
cg01824466	8.12363462741948e-24
cg01824969	2.88554802245252e-83
cg01834022	1.7770222546953e-35
cg01864230	4.4590395625805e-07
cg01864564	3.62433692520469e-50
cg01878345	1.93907885599679e-67
cg01881590	4.36519069592194e-40
cg01889143	1.0358371895406e-41
cg01890568	0.00378805386955184
cg01893212	9.14468034199789e-83
cg01896761	7.93245916277401e-24
cg01898377	7.00948269135646e-42
cg01899542	6.32508699543087e-09
cg01908462	9.96147185837606e-66
cg01908954	5.91649774122973e-60
cg01912921	1.56987877371036e-77
cg01913970	3.50537981937425e-29
cg01915516	1.13439598193871e-44
cg01921432	2.11789204199436e-49
cg01923218	8.39572737131778e-61
cg01925738	5.41934084075969e-12
cg01934626	3.6167193903553e-53
cg01939477	4.7030338470548e-73
cg01940425	1.15715351423058e-59
cg01947943	1.92602927216405e-22
cg01959562	3.5691585921704e-47
cg01963134	1.43096469038641e-51
cg01963754	0.0214814366603618
cg01965874	1.12129189702042e-11
cg01966816	1.64034779885719e-22
cg01972418	8.63782568196704e-09
cg01972751	2.83157671546947e-52
cg01973181	1.27507724842781e-100
cg01984743	1.38351450858358e-20
cg01984854	7.10686299272699e-08
cg01992382	5.48655106664966e-20
cg01994205	1.53987650408315e-87
cg01995743	2.97670210334062e-54
cg01996567	3.56376908286601e-14
cg02003183	4.2166620186194e-15
cg02004851	2.65270865555393e-15
cg02012703	8.94437865654094e-45
cg02013838	6.46883980606335e-45
cg02018277	1.87263938355192e-48
cg02027945	3.7547535549524e-75
cg02030008	2.90041427695649e-18
cg02031308	6.69089483028374e-13
cg02044349	2.34416878113577e-09
cg02048922	1.54334486604436e-08
cg02057013	0.000810082784817199
cg02058870	2.32164904337979e-44
cg02062480	2.10586975008525e-83
cg02064848	1.06325172229385e-12
cg02067712	3.50885727807598e-50
cg02072885	1.05411537062433e-61
cg02073558	6.27196938754279e-15
cg02079463	2.71470310075411e-28
cg02081701	8.35116738098212e-32
cg02085507	1.21350275732274e-39
cg02090033	6.34498298776728e-87
cg02090762	5.17272073640266e-38
cg02091109	1.32184302172441e-65
cg02093112	2.57944445774176e-55
cg02099572	4.99028603183066e-10
cg02109189	2.67732087906406e-19
cg02119792	5.23793406867152e-53
cg02139871	6.27678698474046e-45
cg02143877	3.88713103363758e-50
cg02152985	1.98972271386058e-05
cg02156680	4.19890427551518e-68
cg02159489	8.48954946409545e-11
cg02174092	0.00138825661010651
cg02181080	2.72711954657663e-09
cg02182594	2.12254013390436e-17
cg02184673	2.25458585428927e-16
cg02192967	1.77563851460309e-37
cg02221866	4.63053452348994e-11
cg02223801	0.00012902398929146
cg02232704	1.60749917947174e-32
cg02236650	5.17600700598748e-57
cg02237540	8.84323114396622e-33
cg02245004	1.63589715088065e-45
cg02245566	2.22538114871265e-19
cg02245794	7.8337307675565e-92
cg02246055	4.38920611030473e-38
cg02248763	2.70595492217299e-13
cg02253760	7.60641936877298e-31
cg02256631	2.23433395149682e-19
cg02259324	9.570120968903e-52
cg02264990	4.2720871414737e-19
cg02267536	1.57903287555797e-24
cg02276807	4.32992814330223e-09
cg02280532	3.86890824537419e-14
cg02281970	1.09084023744769e-23
cg02287693	1.94656495219758e-33
cg02297063	4.10386807486912e-09
cg02300154	1.12613789205995e-51
cg02303068	0.000284823101023209
cg02305377	1.6512779405612e-35
cg02305765	1.41181658034493e-56
cg02313554	8.88070425729236e-35
cg02320862	1.08683580351847e-70
cg02335642	6.44892987892077e-51
cg02340018	2.43486827079386e-49
cg02340083	6.39831761450634e-40
cg02343823	2.97741319333386e-25
cg02348751	1.74318006921934e-36
cg02349416	2.82896712630688e-15
cg02350790	1.41779818395383e-16
cg02364970	1.63505131634022e-10
cg02369450	1.57833062271687e-06
cg02373152	6.44892987892077e-51
cg02374745	1.33865815631538e-62
cg02379560	4.18800151743364e-24
cg02387803	1.28572892369211e-32
cg02389084	2.68630213022921e-102
cg02390561	1.8722460801483e-13
cg02394701	2.28709938643508e-28
cg02407342	4.71337932100159e-08
cg02409878	3.47776209704145e-15
cg02423318	2.19531627853421e-16
cg02435495	9.32171576832658e-68
cg02454806	4.1391261511411e-46
cg02460251	1.43235056085056e-30
cg02461341	3.69427216263411e-19
cg02467858	4.69163196968429e-18
cg02467990	2.51895072182098e-81
cg02469909	1.33445710703274e-32
cg02470440	1.28115588402079e-11
cg02474799	1.67821126014939e-38
cg02478448	1.80619554791329e-37
cg02481934	0.000448137938123816
cg02486253	1.33850111892323e-14
cg02493602	9.181678680167e-09
cg02503159	2.05950435022407e-53
cg02511809	3.6115253591054e-30
cg02512867	1.98448599479432e-87
cg02514003	1.03940640678071e-11
cg02519751	5.6329796935553e-60
cg02520212	1.3340286944058e-13
cg02523270	0.00312494672546133
cg02523824	4.09610493857331e-44
cg02523844	5.78455725347426e-45
cg02526522	1.10532644307661e-80
cg02527669	1.72222651824362e-57
cg02533339	1.70968241316756e-49
cg02534163	9.90167033554965e-62
cg02539153	1.54357017728939e-22
cg02547269	7.7054335707463e-67
cg02558625	4.71299493922606e-12
cg02571816	9.13140929529417e-71
cg02574073	4.18297433016809e-09
cg02574502	1.0578584272925e-13
cg02575448	5.79005653471856e-34
cg02576468	1.79474203045639e-51
cg02580209	5.3467105457771e-69
cg02600772	7.03551809663375e-19
cg02609127	3.96576322521524e-48
cg02614217	3.48325652989654e-38
cg02621151	6.88242780846698e-15
cg02621287	5.50586505888948e-48
cg02622647	1.93424009801276e-09
cg02623718	4.78632833233367e-10
cg02623991	8.57527380943739e-87
cg02629106	7.55923125371856e-45
cg02632490	5.05073911065169e-07
cg02632822	1.86783165438134e-14
cg02636041	3.16812479615837e-13
cg02637318	3.46020188478073e-14
cg02639181	9.60268112518746e-14
cg02644510	6.09809526046794e-53
cg02650317	2.66670159420947e-57
cg02653559	1.80795082409061e-55
cg02654411	4.58132459746638e-47
cg02656891	1.84353240512049e-28
cg02657401	3.02056224870026e-29
cg02662277	2.34181290315999e-63
cg02680086	5.80095266028683e-18
cg02681173	4.95131099056329e-22
cg02681442	1.6584351243193e-71
cg02692313	1.07395705129891e-24
cg02693127	1.01440641371492e-68
cg02693150	1.32037259787116e-77
cg02700894	6.21848079077862e-73
cg02701024	1.99216002213061e-23
cg02709432	1.71327561964999e-56
cg02710296	7.09756282566521e-50
cg02716635	5.09762323652369e-41
cg02717454	1.65886532120835e-13
cg02722596	3.27651525494671e-18
cg02725370	1.21409899222249e-38
cg02734505	1.40694765023721e-48
cg02740007	9.83003819121839e-35
cg02759531	2.42372815568329e-21
cg02764722	7.37875169801486e-95
cg02767633	1.88660425637328e-12
cg02767771	2.77937616921272e-46
cg02768721	3.35112948662666e-31
cg02770054	2.19138524007393e-65
cg02772121	3.96686936768523e-24
cg02772995	1.17952171312329e-26
cg02776659	1.41674303167711e-52
cg02778678	1.24735897886195e-09
cg02780849	1.61677387397272e-65
cg02791973	2.92639820960375e-10
cg02797871	3.04193357559495e-13
cg02809409	2.33480833882837e-39
cg02835467	6.91657269155842e-27
cg02837536	1.67573680295625e-08
cg02846648	1.49446138673827e-24
cg02852025	9.97606672689433e-19
cg02863179	4.38704069587444e-20
cg02864844	6.09959894029179e-61
cg02869444	1.50640967930321e-14
cg02872767	0.00592131067161278
cg02874376	1.9145105861486e-51
cg02878244	2.04606134969004e-31
cg02880679	9.38043838971967e-92
cg02886375	3.60983531999533e-13
cg02891314	0.90092575300858
cg02892357	3.35946604055689e-10
cg02893180	9.87758394307249e-63
cg02898500	3.4285981428432e-64
cg02938205	1.71198707356249e-40
cg02961004	1.45407208243264e-44
cg02970525	4.60082543520142e-34
cg02974928	9.68663661335101e-24
cg02979703	2.48480860678823e-33
cg02984614	2.75980516875973e-21
cg02987523	9.84848843902853e-42
cg03002586	1.10357705712021e-24
cg03007522	1.12444937785973e-44
cg03014326	1.36578002665706e-16
cg03017520	5.10429563566211e-47
cg03020810	2.41783686615459e-61
cg03026373	4.07755095004394e-59
cg03030717	1.23008033574935e-17
cg03036557	4.15739982737762e-38
cg03044249	8.66262825920053e-53
cg03048654	1.13179680807235e-25
cg03051384	1.52197022894106e-34
cg03059131	1.38484890238621e-49
cg03063639	1.04202759941036e-42
cg03064067	2.46633697178763e-59
cg03065447	1.85573563187704e-57
cg03070236	6.71328821446137e-05
cg03072621	2.08936640279247e-34
cg03078269	2.30189373255055e-39
cg03079733	1.01212852807385e-71
cg03081173	0.0032716181260886
cg03096126	1.47706663726235e-36
cg03104428	1.03083569465703e-39
cg03108070	2.41982943618924e-14
cg03117976	1.5803738077574e-12
cg03120555	4.41555987290352e-30
cg03126579	1.60580995436504e-72
cg03126946	3.90502326149206e-18
cg03140412	3.29139193372062e-17
cg03144232	5.169825334818e-31
cg03146993	3.30849717817761e-45
cg03149565	1.01058004721086e-40
cg03158400	5.80658301272484e-34
cg03161803	2.23216662232268e-46
cg03163459	0.013598554044996
cg03178838	9.75684420775879e-07
cg03184290	2.69428015445218e-31
cg03188948	6.15238987534244e-05
cg03192598	6.61291109081573e-12
cg03198578	4.79852937586971e-24
cg03199564	2.62453309630811e-78
cg03202804	1.84325785515247e-81
cg03205103	3.20704753816216e-77
cg03207574	1.67799913286464e-49
cg03209812	1.39976475536263e-52
cg03214217	6.64114040696158e-14
cg03216846	1.52113023981575e-24
cg03217173	2.11852038249727e-59
cg03217795	9.55115133471301e-62
cg03221366	5.1379224230626e-05
cg03224572	8.75219611873399e-48
cg03226114	1.03837796895586e-19
cg03228065	4.19683875476382e-95
cg03232056	2.25162657600212e-07
cg03239178	1.66730601970501e-41
cg03248158	5.05882055196624e-37
cg03255846	3.44931217194241e-13
cg03257172	3.82838683568602e-40
cg03257575	4.38562960138613e-53
cg03260566	3.40567214095082e-60
cg03262885	3.38168801416675e-05
cg03277455	5.04978590177115e-16
cg03278146	1.34805621872488e-47
cg03289872	5.61008822035206e-28
cg03290977	1.20840364780297e-77
cg03292377	4.13096376841553e-19
cg03297163	3.32631171509654e-60
cg03301200	2.33428747621622e-61
cg03306374	3.64115112946834e-75
cg03306486	4.53902838781245e-28
cg03313945	8.31057623088456e-67
cg03315407	1.25262670786917e-15
cg03315869	6.63491908564547e-49
cg03317811	9.1176085128803e-58
cg03322979	9.35158771155114e-20
cg03323696	2.4100140671577e-53
cg03324961	1.85587880210692e-08
cg03329165	9.05736444964569e-48
cg03329597	0.100190958625335
cg03336086	2.54149389597377e-64
cg03344031	3.48832298979184e-08
cg03347632	4.66868386704344e-06
cg03348978	2.89883768827394e-69
cg03351460	3.82923958007621e-55
cg03352287	1.36380060151942e-51
cg03364108	2.24478803795436e-28
cg03367387	5.48747394710722e-45
cg03389653	2.15149877921834e-09
cg03394150	1.33062839070311e-37
cg03396103	1.29481566866595e-41
cg03397307	3.10985139464607e-06
cg03401096	1.54750958486415e-55
cg03401357	3.86542314348425e-48
cg03409187	1.39135457644679e-40
cg03419885	1.4890326812009e-18
cg03430846	1.21438054819983e-48
cg03432275	1.55405493545262e-40
cg03432338	1.81989322338245e-32
cg03437479	2.16834818953343e-06
cg03441279	1.91797576055115e-95
cg03446244	7.16108290943434e-27
cg03466124	3.41704717955511e-33
cg03468463	1.04066582475561e-49
cg03475285	1.52734756339014e-66
cg03475293	2.4628192630749e-13
cg03480346	3.62886030956087e-60
cg03486986	1.11413407011199e-13
cg03498175	5.93612799621043e-33
cg03502002	4.03193175651508e-50
cg03507326	5.16815927843873e-25
cg03530754	1.23643534211259e-41
cg03532926	1.63248014530461e-38
cg03535079	7.46706429661472e-75
cg03535284	3.01899973234212e-34
cg03540175	9.35615141188976e-40
cg03543533	4.53401158640603e-21
cg03543893	5.68936308857378e-29
cg03544320	1.25395965911946e-35
cg03555299	1.19802309245673e-42
cg03566142	6.88417357463711e-08
cg03570232	1.92865494431687e-29
cg03572772	2.27724381937285e-28
cg03575641	3.68385893489844e-47
cg03580872	3.97937094153e-61
cg03582419	5.13267448442748e-57
cg03585263	1.60255205335652e-45
cg03585778	7.3646311852736e-58
cg03592218	5.72171137218513e-36
cg03596016	6.53248642311071e-24
cg03599978	2.56453498027161e-11
cg03602212	7.5563303820968e-30
cg03602280	1.72389438025738e-21
cg03604011	3.54637798042494e-54
cg03604774	8.65499043231574e-26
cg03612722	2.93057740525416e-33
cg03616722	3.23168124375381e-12
cg03625109	1.27146714327057e-43
cg03637878	1.98734136879793e-35
cg03646916	4.77708645716357e-34
cg03648334	9.67638611264795e-71
cg03654735	2.50979853739784e-30
cg03657573	3.68719833644042e-85
cg03667968	2.23303330453411e-19
cg03668718	6.4733991920814e-58
cg03672342	9.28398965668434e-11
cg03675258	6.67770883987498e-81
cg03679305	1.82636734931662e-45
cg03679755	9.73660346406278e-51
cg03683587	2.24160590279261e-37
cg03686593	5.27883266179981e-14
cg03687070	5.68062978008594e-48
cg03691144	1.67724141401453e-25
cg03692651	8.04601231415906e-33
cg03701427	1.36485112217353e-39
cg03701930	3.01530853967852e-10
cg03713642	2.66670159420947e-57
cg03715204	6.02157064176488e-23
cg03730533	2.79411312353076e-12
cg03735888	6.33378974574847e-34
cg03736795	3.98711146433067e-19
cg03738384	1.58336238506358e-36
cg03738707	4.57490603193018e-13
cg03748376	1.25582476118137e-17
cg03753331	4.47720585774015e-19
cg03758150	2.40016963299908e-36
cg03774803	5.92959196106043e-31
cg03779973	2.46736333555076e-81
cg03780561	6.34075478780745e-14
cg03784083	1.14299308492871e-14
cg03787864	5.85287262035097e-12
cg03791955	1.28155098780951e-55
cg03796321	2.95513129280894e-67
cg03801902	4.66487784395464e-33
cg03813164	1.40508462926971e-57
cg03814644	5.19823471493853e-13
cg03819134	3.17113866344424e-66
cg03826463	4.69732814834613e-07
cg03826594	8.61125519476925e-29
cg03847932	2.82515205786625e-18
cg03848381	7.00941887640018e-65
cg03854238	6.91983522823654e-23
cg03889013	1.84824385941807e-46
cg03899054	0.000480109613250134
cg03900143	1.50797991252998e-65
cg03903278	5.63412654417481e-50
cg03911745	1.7178048394455e-09
cg03917138	3.16269478430342e-53
cg03917666	2.1874909154668e-80
cg03923561	3.28855264213756e-20
cg03930313	5.70734301095159e-32
cg03940848	1.38300351491187e-59
cg03942855	3.31089479031926e-16
cg03943218	1.6112213038186e-49
cg03949284	5.68513223176206e-86
cg03951603	1.68490715840025e-33
cg03953626	4.05776999749915e-46
cg03957898	0.0117834677041578
cg03970036	1.58291048676949e-53
cg03983645	1.67098526431352e-28
cg03991547	2.42926255353462e-11
cg04008888	1.71935245212478e-73
cg04014105	1.59345684308139e-66
cg04023150	1.10334022676203e-34
cg04025049	8.20152097336602e-19
cg04025964	3.52907476288946e-24
cg04030486	6.45300781815416e-23
cg04034767	4.77978206250742e-23
cg04037038	4.45609963146226e-43
cg04046889	1.20527171586061e-23
cg04048259	7.49097276270075e-65
cg04051396	3.89343381412216e-88
cg04051571	4.42610459623549e-59
cg04052466	2.5260623797422e-28
cg04063945	7.18432724896587e-43
cg04066019	2.54080432931203e-25
cg04074004	1.17109440557885e-36
cg04080282	1.20566685430923e-21
cg04088969	1.96413079798924e-55
cg04097639	1.10739229803516e-53
cg04108939	5.02051017832849e-06
cg04109898	1.441020386204e-35
cg04110601	7.86509756012936e-49
cg04111064	6.03269586943364e-34
cg04111071	1.50358541750871e-56
cg04111078	1.00426555074019e-06
cg04111789	7.53606063920246e-26
cg04115680	6.04204023195655e-34
cg04118610	8.67477041205629e-09
cg04118910	1.28597405050734e-08
cg04120272	1.08959500102105e-12
cg04122815	2.33812125487797e-40
cg04131969	0.456017678937773
cg04134279	4.11143383768111e-26
cg04138112	6.98750932850332e-39
cg04140663	6.07255385834233e-55
cg04157194	2.64162330802671e-18
cg04178787	1.35983965901352e-83
cg04187185	4.19371101505477e-12
cg04194055	5.99924146915491e-26
cg04194494	7.81291468417409e-49
cg04194674	1.97162167538106e-56
cg04203238	3.00416367289042e-70
cg04204831	4.97319465647592e-48
cg04206484	1.16939131394923e-16
cg04217450	2.17951959134141e-37
cg04223424	4.55220640714952e-61
cg04227892	0.000593037497992166
cg04227961	6.38799444063908e-32
cg04234412	0.943645057944061
cg04238348	3.10987899505681e-21
cg04243827	5.45799906468075e-06
cg04245057	1.45999385129788e-41
